DEBUG:root:.CONNECT
DEBUG:root:.FINISHED CONNECT
DEBUG:root:2010-09-15 19:49:54.500235 | A: 29.41
DEBUG:root:UNHANDLED EXCEPTION
DEBUG:root:'A'
DEBUG:root:.CONNECT
DEBUG:root:.FINISHED CONNECT
DEBUG:root:2010-09-17 08:47:10.590802 | A: 30.52
DEBUG:root:UNHANDLED EXCEPTION
DEBUG:root:'A'
DEBUG:root:.CONNECT
DEBUG:root:.FINISHED CONNECT
DEBUG:root:2010-09-20 01:55:03.348502 | HEARTBEAT: 1284965703
DEBUG:root:2010-09-20 02:00:03.382099 | HEARTBEAT: 1284966003
DEBUG:root:2010-09-20 02:05:03.303968 | HEARTBEAT: 1284966303
DEBUG:root:2010-09-20 02:10:03.367098 | HEARTBEAT: 1284966603
DEBUG:root:2010-09-20 02:15:03.542830 | HEARTBEAT: 1284966903
DEBUG:root:2010-09-20 02:20:03.385362 | HEARTBEAT: 1284967203
DEBUG:root:2010-09-20 02:25:03.303343 | HEARTBEAT: 1284967503
DEBUG:root:2010-09-20 02:30:05.616364 | HEARTBEAT: 1284967805
DEBUG:root:2010-09-20 02:36:03.366247 | HEARTBEAT: 1284968163
DEBUG:root:2010-09-20 02:41:04.369037 | HEARTBEAT: 1284968464
DEBUG:root:2010-09-20 02:47:04.524750 | HEARTBEAT: 1284968824
DEBUG:root:2010-09-20 02:53:03.308052 | HEARTBEAT: 1284969183
DEBUG:root:2010-09-20 02:58:04.682915 | HEARTBEAT: 1284969484
DEBUG:root:2010-09-20 03:04:03.635920 | HEARTBEAT: 1284969843
DEBUG:root:2010-09-20 03:09:04.330281 | HEARTBEAT: 1284970144
DEBUG:root:2010-09-20 03:15:05.119155 | HEARTBEAT: 1284970505
DEBUG:root:2010-09-20 03:21:04.184463 | HEARTBEAT: 1284970864
DEBUG:root:2010-09-20 03:27:04.684475 | HEARTBEAT: 1284971224
DEBUG:root:2010-09-20 03:32:04.188380 | HEARTBEAT: 1284971524
DEBUG:root:2010-09-20 03:38:03.367666 | HEARTBEAT: 1284971883
DEBUG:root:2010-09-20 03:43:03.614769 | HEARTBEAT: 1284972183
DEBUG:root:2010-09-20 03:48:03.376481 | HEARTBEAT: 1284972483
DEBUG:root:2010-09-20 03:53:03.366106 | HEARTBEAT: 1284972783
DEBUG:root:2010-09-20 03:58:03.339581 | HEARTBEAT: 1284973083
DEBUG:root:2010-09-20 04:03:03.394888 | HEARTBEAT: 1284973383
DEBUG:root:2010-09-20 04:08:03.919632 | HEARTBEAT: 1284973683
DEBUG:root:2010-09-20 04:13:03.334415 | HEARTBEAT: 1284973983
DEBUG:root:2010-09-20 04:18:04.470872 | HEARTBEAT: 1284974284
DEBUG:root:2010-09-20 04:24:04.356337 | HEARTBEAT: 1284974644
DEBUG:root:2010-09-20 04:30:03.394362 | HEARTBEAT: 1284975003
DEBUG:root:2010-09-20 04:35:03.401784 | HEARTBEAT: 1284975303
DEBUG:root:2010-09-20 04:40:03.378696 | HEARTBEAT: 1284975603
